model,trade_id,date,entry_timestamp,exit_timestamp,direction,entry_price,exit_price,shares,sizing_leverage,entry_equity,gross_pnl,costs,net_pnl,return_on_entry_notional,return_on_start_equity,pnl_per_share,exit_reason
B,19,2025-04-22,2025-04-22 12:00:00,2025-04-22 13:30:00,1,523.2083,519.6039,198,1.0,103058.71959999998,-713.6712000000109,1.782,-715.4532000000108,-0.006906236005812703,-0.0069421898775463824,-3.6134000000000546,stop_or_reverse
B,20,2025-04-24,2025-04-24 10:30:00,2025-04-24 11:00:00,1,539.0388,539.3954,190,1.0,102343.26639999996,67.75399999999195,1.71,66.04399999999194,0.0006448515394438352,0.0006453184691395775,0.34759999999995755,stop_or_reverse
B,21,2025-04-24,2025-04-24 13:00:00,2025-04-24 13:30:00,1,542.3385,541.8632,190,1.0,102343.26639999996,-90.30699999999001,1.71,-92.01699999999002,-0.0008929847318601713,-0.0008991016530618574,-0.4842999999999475,stop_or_reverse
B,22,2025-05-01,2025-05-01 11:00:00,2025-05-01 11:30:00,1,560.1761,560.1562,183,1.0,102317.29339999997,-3.641700000001265,1.647,-5.288700000001265,-5.159091935555071e-05,-5.168920936293323e-05,-0.028900000000006913,stop_or_reverse
B,23,2025-05-02,2025-05-02 10:30:00,2025-05-02 11:00:00,1,563.0621,562.5327,182,1.0,102312.00469999996,-96.35080000000175,1.638,-97.98880000000176,-0.0009562000354845579,-0.0009577448930584956,-0.5384000000000096,stop_or_reverse
B,24,2025-05-08,2025-05-08 12:00:00,2025-05-08 14:30:00,1,565.1277,564.7897,182,1.0,102214.01589999995,-61.51599999999371,1.638,-63.153999999993715,-0.0006140205125318853,-0.0006178604709336515,-0.34699999999996545,stop_or_reverse
B,25,2025-05-08,2025-05-08 15:00:00,2025-05-08 16:00:00,1,565.0681,561.8366,182,1.0,102214.01589999995,-588.1329999999969,1.638,-589.7709999999968,-0.005734707020268853,-0.005769962121212352,-3.240499999999982,session_close
B,26,2025-05-16,2025-05-16 15:30:00,2025-05-16 16:00:00,1,590.4027,590.8104,172,1.0,101561.09089999997,70.12439999999606,1.5479999999999998,68.57639999999606,0.0006753017897783615,0.0006752231528068007,0.3986999999999771,session_close
B,27,2025-05-21,2025-05-21 13:30:00,2025-05-21 16:00:00,-1,581.1359,579.5351,173,1.0,101629.66729999996,276.93839999998886,1.5570000000000002,275.38139999998884,0.002739118337036028,0.0027096556282831495,1.5917999999999355,session_close
B,28,2025-05-27,2025-05-27 10:30:00,2025-05-27 16:00:00,1,584.5256,587.7778,174,1.0,101905.04869999994,565.882799999983,1.5659999999999998,564.316799999983,0.005548431069571465,0.005537672639373199,3.243199999999902,session_close
B,29,2025-05-28,2025-05-28 11:00:00,2025-05-28 11:30:00,-1,585.9831,585.988,174,1.0,102469.36549999993,-0.8526000000035765,1.5659999999999998,-2.4186000000035763,-2.3720820617558e-05,-2.360315190986108e-05,-0.013900000000020554,stop_or_reverse
B,30,2025-05-28,2025-05-28 12:00:00,2025-05-28 12:30:00,-1,585.7296,586.4653,174,1.0,102469.36549999993,-128.01179999999158,1.5659999999999998,-129.57779999999158,-0.0012714057817804524,-0.0012645515990824757,-0.7446999999999516,stop_or_reverse
B,31,2025-05-30,2025-05-30 12:30:00,2025-05-30 13:30:00,-1,581.7524,582.5479,175,1.0,102337.36909999994,-139.21250000001066,1.5750000000000002,-140.78750000001068,-0.0013828907280830488,-0.0013757193607590091,-0.804500000000061,stop_or_reverse
B,32,2025-06-02,2025-06-02 15:30:00,2025-06-02 16:00:00,1,588.9312,589.3289,175,1.0,102196.58159999992,69.59749999999758,1.5750000000000002,68.02249999999759,0.0006600091827364321,0.000665604455012394,0.3886999999999862,session_close
B,33,2025-06-03,2025-06-03 10:30:00,2025-06-03 16:00:00,1,590.4475,592.6896,173,1.0,102264.60409999991,387.8833000000087,1.5570000000000002,386.3263000000087,0.0037820466679934295,0.0037777127619077052,2.2331000000000505,session_close
B,34,2025-06-05,2025-06-05 11:00:00,2025-06-05 13:00:00,1,593.9524,591.2877,173,1.0,102650.93039999992,-460.99310000000673,1.5570000000000002,-462.55010000000675,-0.004501539180580866,-0.004506048782973399,-2.673700000000039,stop_or_reverse
B,35,2025-06-11,2025-06-11 14:30:00,2025-06-11 15:00:00,-1,597.1541,597.3131,170,1.0,102188.38029999992,-27.02999999999861,1.5299999999999998,-28.55999999999861,-0.00028133441602425877,-0.0002794838309028236,-0.16799999999999182,stop_or_reverse
B,36,2025-06-13,2025-06-13 10:30:00,2025-06-13 11:00:00,-1,593.4453,595.7869,171,1.0,102159.82029999992,-400.4135999999951,1.5390000000000001,-401.9525999999951,-0.003960937933116955,-0.003934546858242617,-2.350599999999971,stop_or_reverse
B,37,2025-06-17,2025-06-17 13:30:00,2025-06-17 16:00:00,-1,595.3941,594.1215,170,1.0,101757.86769999993,216.34200000000192,1.5299999999999998,214.81200000000194,0.002122291772793871,0.002111011215695925,1.2636000000000114,session_close
B,38,2025-06-18,2025-06-18 10:30:00,2025-06-18 11:30:00,1,597.3151,596.7166,171,1.0,101972.67969999994,-102.34350000000995,1.5390000000000001,-103.88250000000995,-0.0010170511343176461,-0.0010187287448523335,-0.6075000000000582,stop_or_reverse
B,39,2025-06-20,2025-06-20 11:00:00,2025-06-20 11:30:00,-1,592.597,593.4695,171,1.0,101868.79719999993,-149.1975000000101,1.5390000000000001,-150.7365000000101,-0.001487520186568712,-0.00147971218020831,-0.881500000000059,stop_or_reverse
B,40,2025-06-20,2025-06-20 13:30:00,2025-06-20 14:00:00,-1,591.7194,592.3477,171,1.0,101868.79719999993,-107.43930000001387,1.5390000000000001,-108.97830000001387,-0.0010770307683001118,-0.001069790779860253,-0.6373000000000811,stop_or_reverse
B,41,2025-06-20,2025-06-20 15:00:00,2025-06-20 15:30:00,-1,591.8491,591.8192,171,1.0,101868.79719999993,5.112899999999627,1.5390000000000001,3.573899999999627,3.531305530412705e-05,3.508336309285126e-05,0.02089999999999782,stop_or_reverse
