date,rows,volume_sum,closing_print,daily_volume,volume_difference,daily_close,close_difference,early_close
2025-06-16,14,79984128,599.242,79984128,0,599.2418,0.0001999999999497959,False
2025-06-17,14,82209368,594.1215,82209368,0,594.1212,0.00029999999992469384,False
2025-06-18,14,76605032,594.0319,76605032,0,594.0317,0.0001999999999497959,False
2025-06-20,14,94051376,592.6369,94051376,0,592.6368,9.999999997489795e-05,False
2025-06-23,14,87426040,598.4907,87426040,0,598.4906,9.999999997489795e-05,False
2025-06-24,14,67735296,605.1024,67735296,0,605.1022,0.0001999999999497959,False
2025-06-25,14,62114768,605.4414,62114768,0,605.4413,0.00010000000008858478,False
2025-06-26,14,78548360,610.1782,78548360,0,610.1782,0.0,False
2025-06-27,14,86258400,613.2098,86258400,0,613.2098,0.0,False
2025-06-30,14,92502544,616.1417,92502544,0,616.1417,0.0,False
2025-07-01,14,70030144,615.9423,70030144,0,615.9422,0.00010000000008858478,False
2025-07-02,14,66510376,618.7346,66510376,0,618.7344,0.0001999999999497959,False
2025-07-03,12,51065788,623.611,51065788,0,623.611,0.0,True
2025-07-07,14,74814504,618.9639,74814504,0,618.9638,9.999999997489795e-05,False
2025-07-08,14,59024584,618.6249,59024584,0,618.6248,9.999999997489795e-05,False
2025-07-09,14,66113328,622.3345,66113328,0,622.3345,0.0,False
2025-07-10,14,57528960,624.0897,57528960,0,624.0896,9.999999997489795e-05,False
2025-07-11,14,63670224,621.8958,63670224,0,621.8957,9.999999997489795e-05,False
2025-07-14,14,51898520,623.0825,51898520,0,623.0824,9.999999997489795e-05,False
2025-07-15,14,74317264,620.4199,74317264,0,620.4198,9.999999997489795e-05,False
2025-07-16,14,88987512,622.4941,88987512,0,622.494,9.999999997489795e-05,False
2025-07-17,14,68885680,626.3035,68885680,0,626.3035,0.0,False
2025-07-18,14,65621644,625.8448,65621644,0,625.8447,9.999999997489795e-05,False
2025-07-21,14,63374984,627.0316,63374984,0,627.0314,0.00020000000006348273,False
2025-07-22,14,60046288,627.1213,60046288,0,627.1212,9.999999997489795e-05,False
2025-07-23,14,70511040,632.4565,70511040,0,632.4564,9.999999997489795e-05,False
2025-07-24,14,71307136,632.6659,71307136,0,632.6658,9.999999997489795e-05,False
2025-07-25,14,56865364,635.3384,56865364,0,635.3384,0.0,False
2025-07-28,14,54917104,635.179,54917104,0,635.1788,0.0001999999999497959,False
2025-07-29,14,60556280,633.5036,60556280,0,633.5035,9.999999997489795e-05,False
2025-07-30,14,80418848,632.7058,80418848,0,632.7057,9.999999997489795e-05,False
2025-07-31,14,103385248,630.3324,103385248,0,630.3323,9.999999997489795e-05,False
2025-08-01,14,140103568,620.001,140103568,0,620.0009,9.999999997489795e-05,False
2025-08-04,14,73218016,629.4249,73218016,0,629.4248,9.999999997489795e-05,False
2025-08-05,14,68051400,626.2337,68051400,0,626.2336,9.999999997489795e-05,False
2025-08-06,14,64357524,631.0305,64357524,0,631.0303,0.0001999999999497959,False
2025-08-07,14,74205792,630.5019,74205792,0,630.5018,9.999999997489795e-05,False
2025-08-08,14,64051624,635.4183,64051624,0,635.4182,0.00010000000008858478,False
2025-08-11,14,58742300,634.1617,58742300,0,634.1617,0.0,False
2025-08-12,14,64821800,640.913,64821800,0,640.913,0.0,False
2025-08-13,14,60092792,643.107,60092792,0,643.1069,9.999999997489795e-05,False
2025-08-14,14,59327464,643.1668,59327464,0,643.1667,9.999999997489795e-05,False
2025-08-15,14,68592504,641.6609,68592504,0,641.6609,0.0,False
2025-08-18,14,43804912,641.5214,43804912,0,641.5213,9.999999997489795e-05,False
2025-08-19,14,69750728,638.041,69750728,0,638.041,0.0,False
2025-08-20,14,88890296,636.3457,88890296,0,636.3456,9.999999997489795e-05,False
2025-08-21,14,54805776,633.7928,54805776,0,633.7927,0.00010000000008858478,False
2025-08-22,14,84083216,643.5258,84083216,0,643.5257,9.999999997489795e-05,False
2025-08-25,14,51274332,640.6936,51274332,0,640.6935,9.999999997489795e-05,False
2025-08-26,14,51581564,643.3762,51581564,0,643.3762,0.0,False
2025-08-27,14,48341068,644.8422,48341068,0,644.842,0.00020000000006348273,False
2025-08-28,14,61519460,647.1258,61519460,0,647.1257,9.999999997489795e-05,False
2025-08-29,14,74522192,643.2665,74522192,0,643.2664,9.999999997489795e-05,False
2025-09-02,14,81983544,638.4998,81983544,0,638.4996,0.00020000000006348273,False
2025-09-03,14,70820896,641.9601,70820896,0,641.9601,0.0,False
2025-09-04,14,65219228,647.3253,65219228,0,647.3252,9.999999997489795e-05,False
2025-09-05,14,85178936,645.4504,85178936,0,645.4504,0.0,False
2025-09-08,14,63133104,647.0361,63133104,0,647.036,0.00010000000008858478,False
2025-09-09,14,66133856,648.5319,66133856,0,648.5319,0.0,False
2025-09-10,14,78034528,650.4067,78034528,0,650.4066,9.999999997489795e-05,False
2025-09-11,14,69934360,655.8117,69934360,0,655.8116,9.999999997489795e-05,False
2025-09-12,14,72780136,655.5923,72780136,0,655.5923,0.0,False
2025-09-15,14,63772412,659.0826,63772412,0,659.0826,0.0,False
2025-09-16,14,61168952,658.1752,61168952,0,658.1751,9.999999997489795e-05,False
2025-09-17,14,101952240,657.3574,101952240,0,657.3574,0.0,False
2025-09-18,14,90459240,660.429,90459240,0,660.4288,0.0001999999999497959,False
2025-09-19,14,97945616,663.7,97945616,0,663.7,0.0,False
2025-09-22,14,48564894,666.84,69452200,-20887306,666.84,0.0,False
2025-09-23,14,81708872,663.21,81708872,0,663.21,0.0,False
2025-09-24,14,68082232,661.1,68082232,0,661.1,0.0,False
2025-09-25,14,89622064,658.05,89622064,0,658.05,0.0,False
2025-09-26,14,69179208,661.82,69179208,0,661.82,0.0,False
2025-09-29,14,73499016,663.68,73499016,0,663.68,0.0,False
2025-09-30,14,86288032,666.18,86288032,0,666.18,0.0,False
2025-10-01,14,72545368,668.45,72545368,0,668.45,0.0,False
2025-10-02,14,56895992,669.22,56895992,0,669.22,0.0,False
2025-10-03,14,70494352,669.21,70494352,0,669.21,0.0,False
2025-10-06,14,54623260,671.61,54623260,0,671.61,0.0,False
2025-10-07,14,72020064,669.12,72020064,0,669.12,0.0,False
2025-10-08,14,60702240,673.11,60702240,0,673.11,0.0,False
2025-10-09,14,66501940,671.16,66501940,0,671.16,0.0,False
2025-10-10,14,159422592,653.02,159422592,0,653.02,0.0,False
2025-10-13,14,79560520,663.04,79560520,0,663.04,0.0,False
2025-10-14,14,88779560,662.23,88779560,0,662.23,0.0,False
2025-10-15,14,81702552,665.17,81702552,0,665.17,0.0,False
2025-10-16,14,110563344,660.64,110563344,0,660.64,0.0,False
2025-10-17,14,96500872,664.39,96500872,0,664.39,0.0,False
2025-10-20,14,60493352,671.3,60493352,0,671.3,0.0,False
2025-10-21,14,56249032,671.29,56249032,0,671.29,0.0,False
2025-10-22,14,80564008,667.8,80564008,0,667.8,0.0,False
2025-10-23,14,65604460,671.76,65604460,0,671.76,0.0,False
2025-10-24,14,74356528,677.25,74356528,0,677.25,0.0,False
