date,open_proxy,observed_close,anchor_available_at,scheduled_close,close,previous_close,spy_return,spy_vol_prior14,prior_sessions,eligible
2025-04-25,542.4578,547.4989,2025-04-25 10:00:00,2025-04-25 16:00:00,547.4987,543.5712,0.0072253644048838606,0.03864275638324682,30,True
2025-04-28,547.1111,547.7077,2025-04-28 10:00:00,2025-04-28 16:00:00,547.7075,547.4987,0.00038137076855160323,0.03449204992686046,31,True
2025-04-29,547.4393,551.1579,2025-04-29 10:00:00,2025-04-29 16:00:00,551.1577,547.7075,0.006299347735789551,0.03445600868439488,32,True
2025-04-30,538.6397,551.3766,2025-04-30 10:00:00,2025-04-30 16:00:00,551.3764,551.1577,0.00039680113332352107,0.033846944151335906,33,True
2025-05-01,557.2927,555.2842,2025-05-01 10:00:00,2025-05-01 16:00:00,555.284,551.3764,0.007086991753727512,0.01930124820908633,34,True
2025-05-02,560.2656,563.527,2025-05-02 10:00:00,2025-05-02 16:00:00,563.5267,555.284,0.014844115803804847,0.014390477024464282,35,True
2025-05-05,560.5838,560.2955,2025-05-05 10:00:00,2025-05-05 16:00:00,560.2953,563.5267,-0.005734244712806036,0.014198876438850578,36,True
2025-05-06,554.2603,555.6123,2025-05-06 10:00:00,2025-05-06 16:00:00,555.6121,560.2953,-0.008358449553297898,0.014351001989229747,37,True
2025-05-07,558.1379,557.949,2025-05-07 10:00:00,2025-05-07 16:00:00,557.9487,555.6121,0.004205451969098606,0.014606183379156746,38,True
2025-05-08,560.8523,561.8366,2025-05-08 10:00:00,2025-05-08 16:00:00,561.8364,557.9487,0.006967844893267072,0.012696755378422908,39,True
2025-05-09,563.6462,561.1208,2025-05-09 10:00:00,2025-05-09 16:00:00,561.1205,561.8364,-0.0012742143442469045,0.012671452967658672,40,True
2025-05-12,575.5974,579.6644,2025-05-12 10:00:00,2025-05-12 16:00:00,579.6641,561.1205,0.03304744702786655,0.009822255564252999,41,True
2025-05-13,581.9811,583.4924,2025-05-13 10:00:00,2025-05-13 16:00:00,583.4922,579.6641,0.0066039970389748515,0.010992571113328466,42,True
2025-05-14,584.1653,584.2382,2025-05-14 10:00:00,2025-05-14 16:00:00,584.2379,583.4922,0.0012779948043863953,0.010733935324176002,43,True
2025-05-15,582.7765,587.0917,2025-05-15 10:00:00,2025-05-15 16:00:00,587.0915,584.2379,0.004884311681936371,0.009963089472711087,44,True
2025-05-16,587.2608,590.8104,2025-05-16 10:00:00,2025-05-16 16:00:00,590.8102,587.0915,0.00633410635309839,0.009946332371261172,45,True
2025-05-19,587.9369,591.4567,2025-05-19 10:00:00,2025-05-19 16:00:00,591.4565,590.8102,0.001093921533514397,0.009858484009281942,46,True
2025-05-20,589.4383,589.4681,2025-05-20 10:00:00,2025-05-20 16:00:00,589.4679,591.4565,-0.0033622083788072965,0.009922755861902112,47,True
2025-05-21,586.6244,579.5351,2025-05-21 10:00:00,2025-05-21 16:00:00,579.5349,589.4679,-0.01685079034838033,0.010108872103030872,48,True
2025-05-22,581.0166,579.7638,2025-05-22 10:00:00,2025-05-22 16:00:00,579.7635,579.5349,0.0003944542425313724,0.011610617312684597,49,True
2025-05-23,573.4699,575.8065,2025-05-23 10:00:00,2025-05-23 16:00:00,575.8063,579.7635,-0.006825541794197254,0.011120120748944215,50,True
2025-05-27,582.9554,587.7778,2025-05-27 10:00:00,2025-05-27 16:00:00,587.7776,575.8063,0.02079049847144776,0.011182817826459926,51,True
2025-05-28,587.39,584.3773,2025-05-28 10:00:00,2025-05-28 16:00:00,584.3771,587.7776,-0.0057853514662687955,0.011800390008150748,52,True
2025-05-29,587.8027,586.6841,2025-05-29 10:00:00,2025-05-29 16:00:00,586.6838,584.3771,0.003947279932769332,0.012091503992730561,53,True
2025-05-30,584.0691,586.0278,2025-05-30 10:00:00,2025-05-30 16:00:00,586.0276,586.6838,-0.0011184900622789318,0.012049402843750534,54,True
2025-06-02,582.9853,589.3289,2025-06-02 10:00:00,2025-06-02 16:00:00,589.3287,586.0276,0.005633011141454869,0.012045063160576594,55,True
2025-06-03,589.1102,592.6896,2025-06-03 10:00:00,2025-06-03 16:00:00,592.6894,589.3287,0.005702590082580228,0.008530536325225723,56,True
2025-06-04,593.3658,592.5305,2025-06-04 10:00:00,2025-06-04 16:00:00,592.5303,592.6894,-0.00026843739739557115,0.008490042646046119,57,True
2025-06-05,590.8601,589.6669,2025-06-05 10:00:00,2025-06-05 16:00:00,589.6667,592.5303,-0.0048328330213661674,0.008498320943307505,58,True
2025-06-06,596.9532,595.7222,2025-06-06 10:00:00,2025-06-06 16:00:00,595.722,589.6667,0.010269021465855177,0.008556863607828398,59,True
2025-06-09,595.5532,596.2592,2025-06-09 10:00:00,2025-06-09 16:00:00,596.2589,595.722,0.0009012593122297297,0.00882896128879653,60,True
2025-06-10,597.1441,599.6398,2025-06-10 10:00:00,2025-06-10 16:00:00,599.6395,596.2589,0.005669684762776628,0.008828328742242186,61,True
2025-06-11,600.1868,597.9296,2025-06-11 10:00:00,2025-06-11 16:00:00,597.9293,599.6395,-0.0028520469382020686,0.008845411483658121,62,True
2025-06-12,597.3827,600.3059,2025-06-12 10:00:00,2025-06-12 16:00:00,600.3057,597.9293,0.003974382924536446,0.007296337116088503,63,True
2025-06-13,595.3643,593.5944,2025-06-13 10:00:00,2025-06-13 16:00:00,593.5942,600.3057,-0.011180137053504624,0.007288695182387859,64,True
2025-06-16,599.764,599.242,2025-06-16 10:00:00,2025-06-16 16:00:00,599.2418,593.5942,0.009514243906022068,0.007793387272159155,65,True
2025-06-17,597.5616,594.1215,2025-06-17 10:00:00,2025-06-17 16:00:00,594.1212,599.2418,-0.008545131531211503,0.006129812746204658,66,True
2025-06-18,595.76,594.0319,2025-06-18 10:00:00,2025-06-18 16:00:00,594.0317,594.1212,-0.0001506426634835245,0.006416277456935581,67,True
2025-06-20,595.5987,592.6369,2025-06-20 10:00:00,2025-06-20 16:00:00,592.6368,594.0317,-0.002348191182389825,0.006374695362653697,68,True
2025-06-23,595.1,598.4907,2025-06-23 10:00:00,2025-06-23 16:00:00,598.4906,592.6368,0.00987755063472262,0.00641312671823097,69,True
