model,trade_id,date,timestamp,signal_timestamp,source_timestamp,price_source_timestamp,action,order_side,direction,price,upper,lower,noise_sigma,noise_count,vwap_approx,long_stop,short_stop,shares,sizing_leverage,execution_notional_leverage,gross_pnl,commission,slippage,costs,net_pnl,reason
C,6,2025-04-04,2025-04-04 10:30:00,2025-04-04 10:30:00,2025-04-04 10:00:00,2025-04-04 10:00:00,ENTRY,SELL,-1,513.2007,534.7886100288687,518.855841032859,0.0021557865026691375,14.0,517.5088611977078,534.7886100288687,517.5088611977078,229,1.2057072750100706,1.1875902681530883,0.0,0.8015,0.229,1.0305,-1.0305,entry
C,6,2025-04-04,2025-04-04 16:00:00,2025-04-04 16:00:00,2025-04-04 15:30:00,2025-04-04 16:00:00,EXIT,BUY,-1,502.3976,537.2345141577412,516.4725532509161,0.0067392367295691724,14.0,509.55477975160295,537.2345141577412,509.55477975160295,229,1.2057072750100706,1.1625909717260092,2473.9098999999937,0.8015,0.229,1.0305,2472.879399999994,session_close
C,7,2025-04-07,2025-04-07 14:00:00,2025-04-07 14:00:00,2025-04-07 13:30:00,2025-04-07 13:30:00,ENTRY,BUY,1,506.3052,505.0971760550519,489.9716706280815,0.0053735857663542485,14.0,496.595235738486,505.0971760550519,489.9716706280815,188,0.913748777447013,0.9384246388293848,0.0,0.658,0.188,0.8460000000000001,-0.8460000000000001,entry
C,7,2025-04-07,2025-04-07 14:30:00,2025-04-07 14:30:00,2025-04-07 14:00:00,2025-04-07 14:00:00,EXIT,SELL,1,502.2883,505.3890151444082,489.6855119151266,0.005954478564101536,14.0,496.84862268091274,505.3890151444082,489.6855119151266,188,0.913748777447013,0.9309794102761054,-755.177200000004,0.658,0.188,0.8460000000000001,-756.023200000004,stop_or_reverse
C,8,2025-04-08,2025-04-08 15:30:00,2025-04-08 15:30:00,2025-04-08 15:00:00,2025-04-08 15:00:00,ENTRY,SELL,-1,494.4271,524.0827677795579,497.61978181230666,0.007742369008043711,14.0,507.39754010307473,524.0827677795579,497.61978181230666,176,0.9122184862461684,0.8643644903016313,0.0,0.616,0.176,0.792,-0.792,entry
C,8,2025-04-08,2025-04-08 16:00:00,2025-04-08 16:00:00,2025-04-08 15:30:00,2025-04-08 16:00:00,EXIT,BUY,-1,493.6479,525.3552070462947,496.39273850832075,0.010189102691948575,14.0,504.2758048834844,525.3552070462947,496.39273850832075,176,0.9122184862461684,0.8630022817761622,137.13920000000053,0.616,0.176,0.792,136.34720000000053,session_close
C,9,2025-04-09,2025-04-09 11:00:00,2025-04-09 11:00:00,2025-04-09 10:30:00,2025-04-09 10:30:00,ENTRY,SELL,-1,490.317,500.5681753822103,490.4499849853459,0.0064775256977935925,14.0,495.30708028363483,500.5681753822103,490.4499849853459,189,0.9351213069221191,0.9192557698696979,0.0,0.6615,0.189,0.8505,-0.8505,entry
C,9,2025-04-09,2025-04-09 11:30:00,2025-04-09 11:30:00,2025-04-09 11:00:00,2025-04-09 11:00:00,EXIT,BUY,-1,495.3581,500.07817236509925,490.93634362012824,0.005492291221251325,14.0,495.31457667878016,500.07817236509925,490.93634362012824,189,0.9351213069221191,0.92870692139308,-952.7678999999946,0.6615,0.189,0.8505,-953.6183999999946,stop_or_reverse
C,10,2025-04-09,2025-04-09 13:30:00,2025-04-09 13:30:00,2025-04-09 13:00:00,2025-04-09 13:00:00,ENTRY,BUY,1,521.7765,502.4745092251854,488.5578294415391,0.010310534394294382,14.0,506.479169991323,506.479169991323,488.5578294415391,189,0.9351213069221191,0.978236647326967,0.0,0.6615,0.189,0.8505,-0.8505,entry
C,10,2025-04-09,2025-04-09 16:00:00,2025-04-09 16:00:00,2025-04-09 15:30:00,2025-04-09 16:00:00,EXIT,SELL,1,545.4904,504.02787899137746,487.0160128150793,0.013433848731201554,14.0,523.881491990171,523.881491990171,487.0160128150793,189,0.9351213069221191,1.0226959244907468,4481.9270999999935,0.6615,0.189,0.8505,4481.076599999993,session_close
C,11,2025-04-10,2025-04-10 11:30:00,2025-04-10 11:30:00,2025-04-10 11:00:00,2025-04-10 11:00:00,ENTRY,SELL,-1,520.812,548.4838084258131,523.0003757266757,0.0054879233867320175,14.0,524.3210843454102,548.4838084258131,523.0003757266757,106,0.5362360017374127,0.5291208288008425,0.0,0.371,0.106,0.477,-0.477,entry
C,11,2025-04-10,2025-04-10 14:00:00,2025-04-10 14:00:00,2025-04-10 13:30:00,2025-04-10 13:30:00,EXIT,BUY,-1,521.1998,553.2931272933606,518.3638939242406,0.014304431671477633,14.0,518.3352502897887,553.2931272933606,518.3352502897887,106,0.5362360017374127,0.5295148156087675,-41.10679999999684,0.371,0.106,0.477,-41.58379999999684,stop_or_reverse
