model,trade_id,date,timestamp,signal_timestamp,source_timestamp,price_source_timestamp,action,order_side,direction,price,upper,lower,noise_sigma,noise_count,vwap_approx,long_stop,short_stop,shares,sizing_leverage,execution_notional_leverage,gross_pnl,commission,slippage,costs,net_pnl,reason
A,48,2025-08-06,2025-08-06 11:00:00,2025-08-06 11:00:00,2025-08-06 10:30:00,2025-08-06 10:30:00,ENTRY,BUY,1,629.2354,628.2144465550283,625.2318171469814,0.0015996951505294502,14.0,627.6821271748265,628.2144465550283,625.2318171469814,158,1.0,1.000425144892462,0.0,0.553,0.158,0.7110000000000001,-0.7110000000000001,breakout_or_reverse
A,48,2025-08-06,2025-08-06 16:00:00,2025-08-06 16:00:00,2025-08-06 15:30:00,2025-08-06 16:00:00,EXIT,SELL,1,631.0305,629.5053829635287,623.94289264538,0.0036579119271467142,14.0,629.8944388453403,629.8944388453403,623.94289264538,158,1.0,1.0032791851730887,283.62579999998957,0.553,0.158,0.7110000000000001,282.91479999998955,session_close
A,49,2025-08-07,2025-08-07 13:00:00,2025-08-07 13:00:00,2025-08-07 12:30:00,2025-08-07 12:30:00,ENTRY,SELL,-1,629.4947,636.2011596828606,629.6374609719227,0.0022072458772222476,14.0,631.5668264404743,636.2011596828606,629.6374609719227,156,1.0,0.9853703926028169,0.0,0.546,0.156,0.7020000000000001,-0.7020000000000001,breakout_or_reverse
A,49,2025-08-07,2025-08-07 16:00:00,2025-08-07 16:00:00,2025-08-07 15:30:00,2025-08-07 16:00:00,EXIT,BUY,-1,630.5019,637.2409461183684,628.6038492102114,0.0038452207283685147,14.0,630.5459295639467,637.2409461183684,628.6038492102114,156,1.0,0.9869469985050264,-157.12320000000182,0.546,0.156,0.7020000000000001,-157.82520000000181,session_close
A,50,2025-08-12,2025-08-12 10:30:00,2025-08-12 10:30:00,2025-08-12 10:00:00,2025-08-12 10:00:00,ENTRY,BUY,1,637.5623,636.1927841881393,633.3787548820758,0.0012346143230097845,14.0,636.1311549941087,636.1927841881393,633.3787548820758,156,1.0,0.999588933215514,0.0,0.546,0.156,0.7020000000000001,-0.7020000000000001,breakout_or_reverse
A,50,2025-08-12,2025-08-12 16:00:00,2025-08-12 16:00:00,2025-08-12 15:30:00,2025-08-12 16:00:00,EXIT,SELL,1,640.913,637.9576526062988,631.617348938313,0.004012148733812028,14.0,638.8710639519657,638.8710639519657,631.617348938313,156,1.0,1.0048422592646313,522.7091999999939,0.546,0.156,0.7020000000000001,522.0071999999939,session_close
A,51,2025-08-19,2025-08-19 11:00:00,2025-08-19 11:00:00,2025-08-19 10:30:00,2025-08-19 10:30:00,ENTRY,SELL,-1,639.482,642.9780537717315,639.6466972309547,0.002270780053182201,14.0,640.5867079699033,642.9780537717315,639.6466972309547,156,1.0,0.9973732419272148,0.0,0.546,0.156,0.7020000000000001,-0.7020000000000001,breakout_or_reverse
A,51,2025-08-19,2025-08-19 16:00:00,2025-08-19 16:00:00,2025-08-19 15:30:00,2025-08-19 16:00:00,EXIT,BUY,-1,638.041,643.9219211458326,638.7034460353908,0.003742075509936525,14.0,638.874393337697,643.9219211458326,638.7034460353908,156,1.0,0.9951257746933958,224.7959999999871,0.546,0.156,0.7020000000000001,224.0939999999871,session_close
A,52,2025-08-20,2025-08-20 10:30:00,2025-08-20 10:30:00,2025-08-20 10:00:00,2025-08-20 10:00:00,ENTRY,SELL,-1,632.1873,638.9886768931633,632.6124883525781,0.0014852915301105662,14.0,632.9881380447168,638.9886768931633,632.6124883525781,158,1.0,0.9964115630602021,0.0,0.553,0.158,0.7110000000000001,-0.7110000000000001,breakout_or_reverse
A,52,2025-08-20,2025-08-20 16:00:00,2025-08-20 16:00:00,2025-08-20 15:30:00,2025-08-20 16:00:00,EXIT,BUY,-1,636.3457,640.5566219477499,631.0555710429678,0.003942727736540197,14.0,634.2420456714194,640.5566219477499,631.0555710429678,158,1.0,1.0029657564833054,-657.0271999999866,0.553,0.158,0.7110000000000001,-657.7381999999866,session_close
A,53,2025-08-22,2025-08-22 10:30:00,2025-08-22 10:30:00,2025-08-22 10:00:00,2025-08-22 10:00:00,ENTRY,BUY,1,642.4683,638.1815597192275,632.7600995383921,0.0016292400679399236,14.0,640.986423634949,640.986423634949,632.7600995383921,156,1.0,1.0064083408940863,0.0,0.546,0.156,0.7020000000000001,-0.7020000000000001,breakout_or_reverse
A,53,2025-08-22,2025-08-22 16:00:00,2025-08-22 16:00:00,2025-08-22 15:30:00,2025-08-22 16:00:00,EXIT,SELL,1,643.5258,639.3268022538238,631.6208799463275,0.0034267041158290872,14.0,642.8131330946056,642.8131330946056,631.6208799463275,156,1.0,1.0080648846029285,164.9700000000007,0.546,0.156,0.7020000000000001,164.2680000000007,session_close
A,54,2025-08-28,2025-08-28 14:30:00,2025-08-28 14:30:00,2025-08-28 14:00:00,2025-08-28 14:00:00,ENTRY,BUY,1,646.8566,646.6218071973291,642.4954613488113,0.0027600671130742016,14.0,645.2110495594716,646.6218071973291,642.4954613488113,154,1.0,0.9986514564966179,0.0,0.539,0.154,0.6930000000000001,-0.6930000000000001,breakout_or_reverse
A,54,2025-08-28,2025-08-28 16:00:00,2025-08-28 16:00:00,2025-08-28 15:30:00,2025-08-28 16:00:00,EXIT,SELL,1,647.1258,646.9515530020586,642.1660061494406,0.0032714261820082713,14.0,645.9002043490326,646.9515530020586,642.1660061494406,154,1.0,0.9990670617050813,41.45680000001062,0.539,0.154,0.6930000000000001,40.76380000001061,session_close
A,55,2025-08-29,2025-08-29 11:00:00,2025-08-29 11:00:00,2025-08-29 10:30:00,2025-08-29 10:30:00,ENTRY,SELL,-1,641.9551,648.668194495538,642.1784405228423,0.0023836087726665394,14.0,642.9827050463347,648.668194495538,642.1784405228423,155,1.0,0.9971193201196852,0.0,0.5425,0.155,0.6975,-0.6975,breakout_or_reverse
A,55,2025-08-29,2025-08-29 16:00:00,2025-08-29 16:00:00,2025-08-29 15:30:00,2025-08-29 16:00:00,EXIT,BUY,-1,643.2665,649.3579460660914,641.4923266584334,0.003449478310151101,14.0,642.9327725763742,649.3579460660914,641.4923266584334,155,1.0,0.9991562574014435,-203.26699999998993,0.5425,0.155,0.6975,-203.96449999998993,session_close
A,56,2025-09-02,2025-09-02 11:00:00,2025-09-02 11:00:00,2025-09-02 10:30:00,2025-09-02 10:30:00,ENTRY,SELL,-1,635.887,644.8574367243195,635.985371633554,0.002473371412403264,14.0,637.2488381609293,644.8574367243195,635.985371633554,156,1.0,0.9961091758795475,0.0,0.546,0.156,0.7020000000000001,-0.7020000000000001,breakout_or_reverse
A,56,2025-09-02,2025-09-02 16:00:00,2025-09-02 16:00:00,2025-09-02 15:30:00,2025-09-02 16:00:00,EXIT,BUY,-1,638.4998,645.3889357285909,635.4585856431604,0.003299621632018801,14.0,636.7630690235574,645.3889357285909,635.4585856431604,156,1.0,1.0002020949905503,-407.59680000001663,0.546,0.156,0.7020000000000001,-408.2988000000166,session_close
A,57,2025-09-03,2025-09-03 11:00:00,2025-09-03 11:00:00,2025-09-03 10:30:00,2025-09-03 10:30:00,ENTRY,BUY,1,642.2094,641.7891588050024,636.9944377361733,0.0023573425321279135,14.0,640.8373364202976,641.7891588050024,636.9944377361733,154,1.0,0.997211096926819,0.0,0.539,0.154,0.6930000000000001,-0.6930000000000001,breakout_or_reverse
A,57,2025-09-03,2025-09-03 16:00:00,2025-09-03 16:00:00,2025-09-03 15:30:00,2025-09-03 16:00:00,EXIT,SELL,1,641.9601,642.0635234299083,636.7208359401201,0.0027858499204696913,14.0,640.6604367891183,642.0635234299083,636.7208359401201,154,1.0,0.9968239884128922,-38.392199999992044,0.539,0.154,0.6930000000000001,-39.08519999999205,session_close
A,58,2025-09-04,2025-09-04 13:30:00,2025-09-04 13:30:00,2025-09-04 13:00:00,2025-09-04 13:00:00,ENTRY,BUY,1,645.0902,644.84285845358,640.355528393699,0.0024994880621099463,14.0,643.8285051136863,644.84285845358,640.355528393699,154,1.0,1.0020862711851142,0.0,0.539,0.154,0.6930000000000001,-0.6930000000000001,breakout_or_reverse
A,58,2025-09-04,2025-09-04 16:00:00,2025-09-04 16:00:00,2025-09-04 15:30:00,2025-09-04 16:00:00,EXIT,SELL,1,647.3253,645.0978117184436,640.1010804890261,0.002895848995870357,14.0,645.111551269042,645.111551269042,640.1010804890261,154,1.0,1.0055582864548018,344.20539999999824,0.539,0.154,0.6930000000000001,343.51239999999825,session_close
A,59,2025-09-05,2025-09-05 10:30:00,2025-09-05 10:30:00,2025-09-05 10:00:00,2025-09-05 10:00:00,ENTRY,SELL,-1,644.7175,650.246990921266,646.3410504660048,0.0015203324912967783,14.0,646.9705079693601,650.246990921266,646.3410504660048,153,1.0,0.9915751218100044,0.0,0.5355,0.153,0.6885,-0.6885,breakout_or_reverse
A,59,2025-09-05,2025-09-05 16:00:00,2025-09-05 16:00:00,2025-09-05 15:30:00,2025-09-05 16:00:00,EXIT,BUY,-1,645.4504,651.3714415928973,645.2199504937075,0.0032522285650126398,14.0,644.935087872234,651.3714415928973,644.935087872234,153,1.0,0.992702321563035,-112.13369999999577,0.5355,0.153,0.6885,-112.82219999999577,session_close
A,60,2025-09-11,2025-09-11 11:30:00,2025-09-11 11:30:00,2025-09-11 11:00:00,2025-09-11 11:00:00,ENTRY,BUY,1,655.6323,655.4924738252365,648.7252045520472,0.002585145119918499,14.0,654.406064479041,655.4924738252365,648.7252045520472,151,1.0,0.9963177140308357,0.0,0.5285,0.151,0.6795,-0.6795,breakout_or_reverse
A,60,2025-09-11,2025-09-11 16:00:00,2025-09-11 16:00:00,2025-09-11 15:30:00,2025-09-11 16:00:00,EXIT,SELL,1,655.8117,655.9549202566117,648.2651599619427,0.0032924635728747947,14.0,655.1728436979514,655.9549202566117,648.2651599619427,151,1.0,0.9965903354344747,27.089399999998022,0.5285,0.151,0.6795,26.40989999999802,session_close
A,61,2025-09-17,2025-09-17 10:30:00,2025-09-17 10:30:00,2025-09-17 10:00:00,2025-09-17 10:00:00,ENTRY,SELL,-1,657.3475,658.8126121766903,657.4529698642154,0.0009686057352979767,14.0,657.794380135942,658.8126121766903,657.4529698642154,151,1.0,0.9986655821150445,0.0,0.5285,0.151,0.6795,-0.6795,breakout_or_reverse
A,61,2025-09-17,2025-09-17 16:00:00,2025-09-17 16:00:00,2025-09-17 15:30:00,2025-09-17 16:00:00,EXIT,BUY,-1,657.3574,659.6917847170453,656.5739104638353,0.0023043787542938532,14.0,657.4149979748795,659.6917847170453,656.5739104638353,151,1.0,0.9986806225453542,-1.494900000002417,0.5285,0.151,0.6795,-2.174400000002417,session_close
A,62,2025-09-18,2025-09-18 10:30:00,2025-09-18 10:30:00,2025-09-18 10:00:00,2025-09-18 10:00:00,ENTRY,BUY,1,662.6528,660.8942539276488,656.7253364091462,0.0009615219831006058,14.0,661.192116770086,661.192116770086,656.7253364091462,150,1.0,1.000087240824031,0.0,0.525,0.15,0.675,-0.675,breakout_or_reverse
A,62,2025-09-18,2025-09-18 16:00:00,2025-09-18 16:00:00,2025-09-18 15:30:00,2025-09-18 16:00:00,EXIT,SELL,1,660.429,661.7382289365626,655.8850708748356,0.0022397696065554434,14.0,661.0424395522564,661.7382289365626,655.8850708748356,150,1.0,0.9967310428178587,-333.56999999999744,0.525,0.15,0.675,-334.2449999999974,session_close
A,63,2025-09-19,2025-09-19 15:30:00,2025-09-19 15:30:00,2025-09-19 15:00:00,2025-09-19 15:00:00,ENTRY,BUY,1,663.85,663.3911320613562,659.1659114549021,0.0019122251257030567,14.0,662.3230901225459,663.3911320613562,659.1659114549021,149,1.0,0.9985797773692868,0.0,0.5215,0.149,0.6705,-0.6705,breakout_or_reverse
A,63,2025-09-19,2025-09-19 16:00:00,2025-09-19 16:00:00,2025-09-19 15:30:00,2025-09-19 16:00:00,EXIT,SELL,1,663.7,663.4107898986574,659.1463039761035,0.0019419141380517654,14.0,662.6711735178353,663.4107898986574,659.1463039761035,149,1.0,0.9983541436167743,-22.349999999996612,0.5215,0.149,0.6705,-23.020499999996613,session_close
