model,trade_id,date,timestamp,signal_timestamp,source_timestamp,price_source_timestamp,action,order_side,direction,price,upper,lower,noise_sigma,noise_count,vwap_approx,long_stop,short_stop,shares,sizing_leverage,execution_notional_leverage,gross_pnl,commission,slippage,costs,net_pnl,reason
B,71,2025-08-20,2025-08-20 11:30:00,2025-08-20 11:30:00,2025-08-20 11:00:00,2025-08-20 11:00:00,EXIT,BUY,-1,634.5806,639.669693418468,631.9362615847612,0.002552646959157753,14.0,633.0142272396375,639.669693418468,631.9362615847612,163,1.0,1.0008627477352503,-390.10789999999247,0.5705,0.163,0.7335,-390.84139999999246,stop_or_reverse
B,72,2025-08-22,2025-08-22 10:30:00,2025-08-22 10:30:00,2025-08-22 10:00:00,2025-08-22 10:00:00,ENTRY,BUY,1,642.4683,638.1815597192275,632.7600995383921,0.0016292400679399236,14.0,640.986423634949,640.986423634949,632.7600995383921,161,1.0,1.0046767227476268,0.0,0.5635,0.161,0.7245,-0.7245,entry
B,72,2025-08-22,2025-08-22 16:00:00,2025-08-22 16:00:00,2025-08-22 15:30:00,2025-08-22 16:00:00,EXIT,SELL,1,643.5258,639.3268022538238,631.6208799463275,0.0034267041158290872,14.0,642.8131330946056,642.8131330946056,631.6208799463275,161,1.0,1.0063304162206055,170.25750000000073,0.5635,0.161,0.7245,169.53300000000073,session_close
B,73,2025-08-28,2025-08-28 14:30:00,2025-08-28 14:30:00,2025-08-28 14:00:00,2025-08-28 14:00:00,ENTRY,BUY,1,646.8566,646.6218071973291,642.4954613488113,0.0027600671130742016,14.0,645.2110495594716,646.6218071973291,642.4954613488113,160,1.0,1.0036106516571537,0.0,0.56,0.16,0.7200000000000001,-0.7200000000000001,entry
B,73,2025-08-28,2025-08-28 16:00:00,2025-08-28 16:00:00,2025-08-28 15:30:00,2025-08-28 16:00:00,EXIT,SELL,1,647.1258,646.9515530020586,642.1660061494406,0.0032714261820082713,14.0,645.9002043490326,646.9515530020586,642.1660061494406,160,1.0,1.0040283207161478,43.07200000001103,0.56,0.16,0.7200000000000001,42.35200000001103,session_close
B,74,2025-08-29,2025-08-29 11:00:00,2025-08-29 11:00:00,2025-08-29 10:30:00,2025-08-29 10:30:00,ENTRY,SELL,-1,641.9551,648.668194495538,642.1784405228423,0.0023836087726665394,14.0,642.9827050463347,648.668194495538,642.1784405228423,160,1.0,0.9956039479799099,0.0,0.56,0.16,0.7200000000000001,-0.7200000000000001,entry
B,74,2025-08-29,2025-08-29 11:30:00,2025-08-29 11:30:00,2025-08-29 11:00:00,2025-08-29 11:00:00,EXIT,BUY,-1,642.6573,648.5411533822827,642.3048116293038,0.00218729279687497,14.0,642.9457741564139,648.5411533822827,642.3048116293038,160,1.0,0.9966929853475878,-112.35199999999168,0.56,0.16,0.7200000000000001,-113.07199999999168,stop_or_reverse
B,75,2025-08-29,2025-08-29 12:00:00,2025-08-29 12:00:00,2025-08-29 11:30:00,2025-08-29 11:30:00,ENTRY,SELL,-1,641.9801,648.4891779403988,642.3565129559955,0.0021069754151300524,14.0,642.8552543924162,648.4891779403988,642.3565129559955,160,1.0,0.9956427203157001,0.0,0.56,0.16,0.7200000000000001,-0.7200000000000001,entry
B,75,2025-08-29,2025-08-29 12:30:00,2025-08-29 12:30:00,2025-08-29 12:00:00,2025-08-29 12:00:00,EXIT,BUY,-1,642.4288,648.833174978168,642.0143301368398,0.002638552259890118,14.0,642.822056830289,648.833174978168,642.0143301368398,160,1.0,0.9963386061984646,-71.79200000000492,0.56,0.16,0.7200000000000001,-72.51200000000492,stop_or_reverse
B,76,2025-09-02,2025-09-02 11:00:00,2025-09-02 11:00:00,2025-09-02 10:30:00,2025-09-02 10:30:00,ENTRY,SELL,-1,635.887,644.8574367243195,635.985371633554,0.002473371412403264,14.0,637.2488381609293,644.8574367243195,635.985371633554,161,1.0,0.9941589280269125,0.0,0.5635,0.161,0.7245,-0.7245,entry
B,76,2025-09-02,2025-09-02 13:30:00,2025-09-02 13:30:00,2025-09-02 13:00:00,2025-09-02 13:00:00,EXIT,BUY,-1,635.8674,645.1903715882966,635.6553890359437,0.002990940593658572,14.0,636.1028795213074,645.1903715882966,635.6553890359437,161,1.0,0.9941282849802875,3.1555999999949336,0.5635,0.161,0.7245,2.4310999999949336,stop_or_reverse
B,77,2025-09-03,2025-09-03 11:00:00,2025-09-03 11:00:00,2025-09-03 10:30:00,2025-09-03 10:30:00,ENTRY,BUY,1,642.2094,641.7891588050024,636.9944377361733,0.0023573425321279135,14.0,640.8373364202976,641.7891588050024,636.9944377361733,160,1.0,0.9977906686792372,0.0,0.56,0.16,0.7200000000000001,-0.7200000000000001,entry
B,77,2025-09-03,2025-09-03 11:30:00,2025-09-03 11:30:00,2025-09-03 11:00:00,2025-09-03 11:00:00,EXIT,SELL,1,640.6737,641.6713666254813,637.1119024125654,0.0021733726809454496,14.0,640.8084861268484,641.6713666254813,637.1119024125654,160,1.0,0.9954046756839765,-245.71199999998498,0.56,0.16,0.7200000000000001,-246.43199999998498,stop_or_reverse
