source_timestamp,price,volume,date
2025-09-23 16:00:00,663.21,26058110,2025-09-23
2025-09-24 16:00:00,661.1,19867362,2025-09-24
2025-09-25 16:00:00,658.05,28463983,2025-09-25
2025-09-26 16:00:00,661.82,22979181,2025-09-26
2025-09-29 16:00:00,663.68,22821796,2025-09-29
2025-09-30 16:00:00,666.18,29735027,2025-09-30
2025-10-01 16:00:00,668.45,23088885,2025-10-01
2025-10-02 16:00:00,669.22,16821737,2025-10-02
2025-10-03 16:00:00,669.21,20990274,2025-10-03
2025-10-06 16:00:00,671.61,16528733,2025-10-06
2025-10-07 16:00:00,669.12,18256476,2025-10-07
2025-10-08 16:00:00,673.11,17376668,2025-10-08
2025-10-09 16:00:00,671.16,18805206,2025-10-09
2025-10-10 16:00:00,653.02,47859507,2025-10-10
2025-10-13 16:00:00,663.04,25203931,2025-10-13
2025-10-14 16:00:00,662.23,29592302,2025-10-14
2025-10-15 16:00:00,665.17,28985983,2025-10-15
2025-10-16 16:00:00,660.64,39048457,2025-10-16
2025-10-17 16:00:00,664.39,42781969,2025-10-17
2025-10-20 16:00:00,671.3,23569381,2025-10-20
2025-10-21 16:00:00,671.29,18940906,2025-10-21
2025-10-22 16:00:00,667.8,25110786,2025-10-22
2025-10-23 16:00:00,671.76,24483005,2025-10-23
2025-10-24 16:00:00,677.25,32798473,2025-10-24
2025-10-27 16:00:00,685.24,21264094,2025-10-27
2025-10-28 16:00:00,687.06,22282619,2025-10-28
2025-10-29 16:00:00,687.39,30049615,2025-10-29
2025-10-30 16:00:00,679.83,29338607,2025-10-30
2025-10-31 16:00:00,682.06,34388498,2025-10-31
2025-11-03 16:00:00,683.34,15000,2025-11-03
2025-11-04 16:00:00,675.24,21554042,2025-11-04
2025-11-05 16:00:00,677.58,22655147,2025-11-05
2025-11-06 16:00:00,670.31,19627489,2025-11-06
2025-11-07 16:00:00,670.97,21535601,2025-11-07
2025-11-10 16:00:00,681.44,18351938,2025-11-10
2025-11-11 16:00:00,683.0,15479870,2025-11-11
2025-11-12 16:00:00,683.38,15503008,2025-11-12
2025-11-13 16:00:00,672.04,29262865,2025-11-13
2025-11-14 16:00:00,671.93,23786906,2025-11-14
2025-11-17 16:00:00,665.67,19866690,2025-11-17
2025-11-18 16:00:00,660.08,23705529,2025-11-18
2025-11-19 16:00:00,662.63,22831485,2025-11-19
2025-11-20 16:00:00,652.53,37398823,2025-11-20
2025-11-21 16:00:00,659.03,36504397,2025-11-21
2025-11-24 16:00:00,668.73,24077037,2025-11-24
2025-11-25 16:00:00,675.02,18510638,2025-11-25
2025-11-26 16:00:00,679.68,19351836,2025-11-26
2025-11-28 13:00:00,683.39,0,2025-11-28
2025-11-28 14:00:00,683.39,0,2025-11-28
2025-11-28 15:00:00,683.39,0,2025-11-28
2025-11-28 15:30:00,683.39,0,2025-11-28
2025-11-28 16:00:00,683.39,17387935,2025-11-28
2025-12-01 16:00:00,680.27,16747236,2025-12-01
