source_timestamp,price,volume,date,time,volume_raw,price_raw
2025-10-17 16:00:00,664.39,42781969,2025-10-17,16:00,0.0,664.39
2025-10-20 16:00:00,671.3,23569381,2025-10-20,16:00,0.0,671.3
2025-10-21 16:00:00,671.29,18940906,2025-10-21,16:00,0.0,671.29
2025-10-22 16:00:00,667.8,25110786,2025-10-22,16:00,0.0,667.8
2025-10-23 16:00:00,671.76,24483005,2025-10-23,16:00,0.0,671.76
2025-10-24 16:00:00,677.25,32798473,2025-10-24,16:00,0.0,677.25
2025-10-27 16:00:00,685.24,21264094,2025-10-27,16:00,0.0,685.24
2025-10-28 16:00:00,687.06,22282619,2025-10-28,16:00,0.0,687.06
2025-10-29 16:00:00,687.39,30049615,2025-10-29,16:00,0.0,687.39
2025-10-30 16:00:00,679.83,29338607,2025-10-30,16:00,0.0,679.83
2025-10-31 16:00:00,682.06,34388498,2025-10-31,16:00,0.0,682.06
2025-11-04 16:00:00,675.24,21554042,2025-11-04,16:00,0.0,675.24
2025-11-05 16:00:00,677.58,22655147,2025-11-05,16:00,0.0,677.58
2025-11-06 16:00:00,670.31,19627489,2025-11-06,16:00,0.0,670.31
2025-11-07 16:00:00,670.97,21535601,2025-11-07,16:00,0.0,670.97
2025-11-10 16:00:00,681.44,18351938,2025-11-10,16:00,0.0,681.44
2025-11-11 16:00:00,683.0,15479870,2025-11-11,16:00,0.0,683.0
2025-11-12 16:00:00,683.38,15503008,2025-11-12,16:00,0.0,683.38
2025-11-13 16:00:00,672.04,29262865,2025-11-13,16:00,0.0,672.04
2025-11-14 16:00:00,671.93,23786906,2025-11-14,16:00,0.0,671.93
2025-11-17 16:00:00,665.67,19866690,2025-11-17,16:00,0.0,665.67
2025-11-18 16:00:00,660.08,23705529,2025-11-18,16:00,0.0,660.08
2025-11-19 16:00:00,662.63,22831485,2025-11-19,16:00,0.0,662.63
2025-11-20 16:00:00,652.53,37398823,2025-11-20,16:00,0.0,652.53
2025-11-21 16:00:00,659.03,36504397,2025-11-21,16:00,0.0,659.03
2025-11-24 16:00:00,668.73,24077037,2025-11-24,16:00,0.0,668.73
2025-11-25 16:00:00,675.02,18510638,2025-11-25,16:00,0.0,675.02
2025-11-26 16:00:00,679.68,19351836,2025-11-26,16:00,0.0,679.68
2025-11-28 16:00:00,683.39,17387935,2025-11-28,16:00,,
2025-12-01 16:00:00,680.27,16747236,2025-12-01,16:00,0.0,680.27
