model,date,timestamp,direction,held_shares,equity_marked,marked_leverage
B,2025-07-01,2025-07-01 12:00:00,0,0,102102.4844999999,0.0
B,2025-07-01,2025-07-01 12:30:00,0,0,102102.4844999999,0.0
B,2025-07-01,2025-07-01 13:00:00,0,0,102102.4844999999,0.0
B,2025-07-01,2025-07-01 13:30:00,0,0,102102.4844999999,0.0
B,2025-07-01,2025-07-01 14:00:00,0,0,102102.4844999999,0.0
B,2025-07-01,2025-07-01 14:30:00,0,0,102102.4844999999,0.0
B,2025-07-01,2025-07-01 15:00:00,0,0,102102.4844999999,0.0
B,2025-07-01,2025-07-01 15:30:00,0,0,102102.4844999999,0.0
B,2025-07-01,2025-07-01 16:00:00,0,0,102102.4844999999,0.0
B,2025-07-02,2025-07-02 10:00:00,0,0,102102.4844999999,0.0
B,2025-07-02,2025-07-02 10:30:00,1,165,102101.74199999991,0.9969958935666355
B,2025-07-02,2025-07-02 11:00:00,1,165,102129.72599999992,0.9969967167051841
B,2025-07-02,2025-07-02 11:30:00,1,165,102119.85899999992,0.9969964265226813
B,2025-07-02,2025-07-02 12:00:00,1,165,102202.93649999992,0.9969988680315471
B,2025-07-02,2025-07-02 12:30:00,1,165,102182.37749999992,0.9969982642065661
B,2025-07-02,2025-07-02 13:00:00,1,165,102249.56549999992,0.9970002366415933
B,2025-07-02,2025-07-02 13:30:00,1,165,102235.85399999992,0.9969998343242682
B,2025-07-02,2025-07-02 14:00:00,1,165,102233.37899999991,0.9969997616923147
B,2025-07-02,2025-07-02 14:30:00,1,165,102256.42949999991,0.9970004380017989
B,2025-07-02,2025-07-02 15:00:00,0,0,102298.09199999992,0.0
B,2025-07-02,2025-07-02 15:30:00,0,0,102298.09199999992,0.0
B,2025-07-02,2025-07-02 16:00:00,0,0,102298.09199999992,0.0
B,2025-07-03,2025-07-03 10:00:00,0,0,102298.09199999992,0.0
B,2025-07-03,2025-07-03 10:30:00,0,0,102298.09199999992,0.0
B,2025-07-03,2025-07-03 11:00:00,1,164,102297.35399999992,0.9996901816248354
