date,model,start_equity,gross_pnl,commission,slippage,costs,net_pnl,equity,daily_return,shares,sizing_leverage
2025-06-11,C,103194.79729999989,-61.691999999996824,2.716,0.776,3.492,-65.18399999999383,103129.6132999999,-0.0006316597513196243,388,2.2610593115933564
2025-06-12,C,103129.6132999999,0.0,0.0,0.0,0.0,0.0,103129.6132999999,0.0,473,2.7411014159282443
2025-06-13,C,103129.6132999999,-1112.2599999999863,3.325,0.9500000000000001,4.275,-1116.534999999989,102013.0782999999,-0.010826521735827987,475,2.74397536178043
2025-06-16,C,102013.0782999999,0.0,0.0,0.0,0.0,0.0,102013.0782999999,0.0,436,2.566278217874191
2025-06-17,C,102013.0782999999,708.8382000000063,3.899,1.114,5.013,703.8252000000066,102716.90349999991,0.006899362432042366,557,3.2627424079770173
2025-06-18,C,102716.90349999991,-321.39450000003126,3.759,1.074,4.833,-326.22750000003725,102390.67599999988,-0.003175986511314899,537,3.1170721862068627
2025-06-20,C,102390.67599999988,-792.8151000000768,11.319,3.2340000000000004,14.552999999999999,-807.3681000000652,101583.30789999981,-0.007885172083443082,539,3.1374048267734445
2025-06-23,C,101583.30789999981,493.42999999994436,3.724,1.064,4.788,488.6419999999489,102071.94989999976,0.004810258792526945,532,3.118603588970857
2025-06-24,C,102071.94989999976,500.6445999999978,3.5140000000000002,1.004,4.518000000000001,496.1265999999887,102568.07649999975,0.004860557680009592,502,2.963120048627497
2025-06-25,C,102568.07649999975,0.0,0.0,0.0,0.0,0.0,102568.07649999975,0.0,471,2.790648664815211
2025-06-26,C,102568.07649999975,460.2611999999648,3.297,0.9420000000000001,4.239,456.02219999996305,103024.09869999971,0.004446044184127418,471,2.795472816769809
2025-06-27,C,103024.09869999971,21.2825999999925,3.318,0.9480000000000001,4.266,17.016599999988102,103041.1152999997,0.00016517106400071313,474,2.8236008789445224
2025-06-30,C,103041.1152999997,0.0,0.0,0.0,0.0,0.0,103041.1152999997,0.0,495,2.9547244893255575
2025-07-01,C,103041.1152999997,0.0,0.0,0.0,0.0,0.0,103041.1152999997,0.0,492,2.9430031035712343
2025-07-02,C,103041.1152999997,591.2775000000306,3.465,0.99,4.455,586.8225000000384,103627.93779999974,0.005695032495441454,495,2.9583947271183653
2025-07-03,C,103627.93779999974,19.98989999999435,3.507,1.002,4.509,15.480899999995017,103643.41869999973,0.00014938925089746924,501,3.0097989034694783
2025-07-07,C,103643.41869999973,693.8400000000263,3.43,0.98,4.41,689.4300000000221,104332.84869999975,0.006651941904730174,490,2.9439698325799757
2025-07-08,C,104332.84869999975,0.0,0.0,0.0,0.0,0.0,104332.84869999975,0.0,538,3.1960988788991207
2025-07-09,C,104332.84869999975,0.0,0.0,0.0,0.0,0.0,104332.84869999975,0.0,556,3.3184296242025164
2025-07-10,C,104332.84869999975,121.78420000005883,9.002,2.572,11.574000000000002,110.210200000045,104443.0588999998,0.0010563327022437008,643,3.8361659790925695
2025-07-11,C,104443.0588999998,0.0,0.0,0.0,0.0,0.0,104443.0588999998,0.0,656,3.9058574565491897
2025-07-14,C,104443.0588999998,0.0,0.0,0.0,0.0,0.0,104443.0588999998,0.0,642,3.8225453527590894
2025-07-15,C,104443.0588999998,-453.6488999999814,4.683,1.338,6.021,-459.66989999997895,103983.38899999982,-0.004401153172276295,669,4.0
2025-07-16,C,103983.38899999982,-73.49899999998343,4.69,1.34,6.03,-79.52899999998044,103903.85999999984,-0.0007648240816615637,670,4.0
2025-07-17,C,103903.85999999984,-116.04250000005322,9.31,2.66,11.97,-128.01250000004075,103775.8474999998,-0.001232028338504887,665,4.0
2025-07-18,C,103775.8474999998,138.41340000004845,4.627,1.322,5.949,132.46440000005532,103908.31189999986,0.0012764472966608764,661,4.0
2025-07-21,C,103908.31189999986,0.0,0.0,0.0,0.0,0.0,103908.31189999986,0.0,660,4.0
2025-07-22,C,103908.31189999986,0.0,0.0,0.0,0.0,0.0,103908.31189999986,0.0,664,4.0
2025-07-23,C,103908.31189999986,1469.9317999999887,9.254,2.644,11.898,1458.0337999999902,105366.34569999985,0.014031926545040818,661,4.0
2025-07-24,C,105366.34569999985,0.0,0.0,0.0,0.0,0.0,105366.34569999985,0.0,665,4.0
